CORPUS,DIAMETER,HUB_THICKNESS,MODEL,MODEL_NAME,PITCH,Performance_File,SHAFT_DIAMETER,WEIGHT
UAV,355.6,11.43,apc_propellers_14x6E,apc_propellers_14x6E,152.4,PER3_14x6E.dat,6.35,0.037012944
UAV,355.6,17.272,apc_propellers_14x7,apc_propellers_14x7,177.8,PER3_14x7.dat,7.9375,0.0771103
UAV,355.6,11.176,apc_propellers_14x7E,apc_propellers_14x7E,177.8,PER3_14x7E.dat,6.35,0.03401925
UAV,355.6,16.256,apc_propellers_14x8,apc_propellers_14x8,203.2,PER3_14x8.dat,7.9375,0.070034296
UAV,355.6,11.176,apc_propellers_14x8_5E,apc_propellers_14x8_5E,215.9,PER3_14x85E.dat,6.35,0.037012944
UAV,393.7,19.05,apc_propellers_15_5x12W,apc_propellers_15_5x12W,304.8,PER3_155x12W.dat,7.9375,0.104915367
UAV,381,18.034,apc_propellers_15x10,apc_propellers_15x10,254,PER3_15x10.dat,7.9375,0.089856179
UAV,381,12.192,apc_propellers_15x10E,apc_propellers_15x10E,254,PER3_15x10E.dat,6.35,0.044996128
UAV,381,18.034,apc_propellers_15x11,apc_propellers_15x11,279.4,PER3_15x11.dat,7.9375,0.090990154
UAV,381,18.288,apc_propellers_15x12,apc_propellers_15x12,304.8,PER3_15x12.dat,7.9375,0.090990154
UAV,381,11.43,apc_propellers_15x4E,apc_propellers_15x4E,101.6,PER3_15x4E.dat,6.35,0.044996128
UAV,381,10.668,apc_propellers_15x4W,apc_propellers_15x4W,101.6,PER3_15x4W.dat,7.9375,0.070034296
UAV,381,9.144,apc_propellers_15x5_5MR,apc_propellers_15x5_5MR,139.7,PER3_15x55MR.dat,6.35,0.036015046
UAV,381,13.462,apc_propellers_15x6,apc_propellers_15x6,152.4,PER3_15x6.dat,7.9375,0.075976325
UAV,381,11.938,apc_propellers_15x6E,apc_propellers_15x6E,152.4,PER3_15x6E.dat,6.35,0.044996128
UAV,381,14.732,apc_propellers_15x7,apc_propellers_15x7,177.8,PER3_15x7.dat,7.9375,0.0771103
UAV,381,11.938,apc_propellers_15x7E,apc_propellers_15x7E,177.8,PER3_15x7E.dat,6.35,0.044996128
UAV,381,17.018,apc_propellers_15x8,apc_propellers_15x8,203.2,PER3_15x8.dat,7.9375,0.086000664
UAV,381,11.938,apc_propellers_15x8E,apc_propellers_15x8E,203.2,PER3_15x8E.dat,6.35,0.04399823
UAV,406.4,19.812,apc_propellers_16x10,apc_propellers_16x10,254,PER3_16x10.dat,7.9375,0.104915367
UAV,406.4,12.192,apc_propellers_16x10E,apc_propellers_16x10E,254,PER3_16x10E.dat,6.35,0.051981414
UAV,406.4,20.066,apc_propellers_16x12,apc_propellers_16x12,304.8,PER3_16x12.dat,7.9375,0.102919571
