weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,omega_rpm,voltage,thrust,torque,power,current,max_omega_rpm,max_voltage,max_thrust,max_torque,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,motor_name,propeller_name
1.496,0.6858,1800.0,600.0,652.84,7.0,8.89,3.0,250.68,35.81,1354.58,16.17,14.73,12.82,2416.51,149.47,5.9425135,167.56685,0.035463538,KDE10218XF-105,27x13_5_1200_41_30
1.543,0.6858,1800.0,600.0,652.04,7.0,9.02,3.03,253.11,36.16,1346.84,16.09,13.78,12.82,2405.48,149.47,5.845755,164.03758,0.03563668,KDE10218XF-105,27x13_6_1200_41_30
1.543,0.6858,1800.0,600.0,816.66,9.0,14.16,4.74,503.47,55.94,1346.84,16.09,13.9,12.82,2405.48,149.47,9.1769285,326.29294,0.028124813,KDE10218XF-105,27x13_6_1200_41_30
1.558,0.6858,2100.0,700.0,717.18,8.0,12.36,4.53,428.26,53.53,1209.42,14.78,10.19,12.82,2209.87,149.47,7.9332476,274.87805,0.028860973,KDE10218XF-105,27x14_6_1400_51_50
1.308,0.6858,6900.0,2300.0,2503.4,25.0,57.79,4.49,1325.09,53.0,4203.83,43.3,20.77,12.82,6472.58,149.47,44.181957,1013.06573,0.043612134,KDE10218XF-105,27x3_2_4600_41_140
1.308,0.6858,6900.0,2300.0,3904.57,40.0,141.74,11.03,5150.78,128.77,4203.83,43.3,110.54,12.82,6472.58,149.47,108.363914,3937.9053,0.027518163,KDE10218XF-105,27x3_2_4600_41_140
1.365,0.6858,7200.0,2400.0,2881.79,30.0,105.77,10.0,3507.12,116.9,3262.79,34.34,53.56,12.82,5132.96,149.47,77.48718,2569.3186,0.030158648,KDE10218XF-105,27x4_3_4800_51_210
1.322,0.6858,6300.0,2100.0,2828.0,30.0,106.93,12.03,4210.52,140.35,2920.1,31.08,65.19,12.82,4645.11,149.47,80.885025,3184.9622,0.025395913,KDE10218XF-105,27x5_2_4200_51_180
1.371,0.6858,6300.0,2100.0,2807.42,30.0,114.71,12.8,4479.63,149.32,2808.88,30.02,68.27,12.82,4486.78,149.47,83.66885,3267.418,0.025607025,KDE10218XF-105,27x5_3_4200_51_190
1.336,0.6858,4200.0,1400.0,1413.06,15.0,33.33,6.0,1058.79,70.59,2069.63,22.98,21.46,12.82,3434.42,149.47,24.947605,792.5075,0.03147933,KDE10218XF-105,27x7_2_2800_51_120
1.35,0.6858,3300.0,1100.0,1149.95,12.5,26.38,6.03,885.65,70.85,1679.96,19.27,20.65,12.82,2879.7,149.47,19.540741,656.03705,0.029786034,KDE10218XF-105,27x9_2_2200_51_90
