Category,Style,Name,Manufacturer,Cost ($),Cost Adapter ($),(A) Shaft Diameter [mm],(B) Length [mm],(C) Can Diameter [mm],(D) Can Length [mm],(E) Total Length [mm],Adapter Length [mm],Adapter Diameter [mm],Weight [grams],Rotational Moment of Inertia [g*mm^2],Shaft,Case top,Case,KV [RPM/V],KT [Nm/A],KM [Nm/sqrt(W)],Max Current [A],Max Power [W],Peak Current [A],Peak Power [W],Internal Resistance [mOhm],Io Idle Current@10V [A],Poles,ESC PWM Rate Min [kHz],ESC PWM Rate Max [kHz],ESC Rate [Hz],Motor Timing Min [deg.],Motor Timing Max [deg.],Min # of Cells,Max # of Cells,Prop Size Rec. [in],Prop Pitch Rec. [in],ESC/BEC Class,Performance File,Buy Link,CAD File,Manf CAD,Image File,Product Description
Motor,D,Antigravity MN5006 KV450,T-Motor,84.99,0,4,25,55.6,6,30,26,6,106,8326.437745,2.058371507,8324.249117,0.130256322,450,0.021220659,0.086632978,26,650,,,60,0.9,24S28P,,,,,,4,6,"14,18","4,12",2,Antigravity MN5006 KV450.jpg,https://store.tmotor.com/goods.php?id=997,para_motor.prt,,Antigravity MN5006.jpg,
Motor,D,Antigravity MN5008 KV170,T-Motor,89.99,0,4,27,55.6,8,32,26,6,128,8326.618388,2.195596274,8324.249117,0.173675096,170,0.056172333,0.108103705,15,720,,,270,0.4,24S28P,,,,,,6,12,"16,20","4,12",2,Antigravity MN5008 KV170.jpg,https://store.tmotor.com/goods.php?id=998 ,para_motor.prt,,Antigravity MN5008.jpg,
Motor,D,Antigravity MN5008 KV340,T-Motor,89.99,0,4,27,55.6,8,32,26,6,135,8326.618388,2.195596274,8324.249117,0.173675096,340,0.028086166,0.119759816,35,760,,,55,0.9,24S28P,,,,,,6,12,"16,20","4,10",2,Antigravity MN5008 KV170.jpg,https://store.tmotor.com/goods.php?id=999,para_motor.prt,,Antigravity MN5008.jpg,
Motor,D,Antigravity MN5008 KV400,T-Motor,89.99,0,4,27,55.6,8,32,26,6,132,8326.618388,2.195596274,8324.249117,0.173675096,400,0.023873241,0.106764382,35,800,,,50,1.1,24S28P,,,,,,6,12,"14,18","4,10",2,Antigravity MN5008 KV170.jpg,https://store.tmotor.com/goods.php?id=1000,para_motor.prt,,Antigravity MN5008.jpg,
Motor,D,Antigravity MN6007 KV160,T-Motor,119.99,0,4,25.1,67,7,30.1,26,6,180,17554.96501,2.065232745,17552.74781,0.151965709,160,0.059683104,0.125267517,18,864,,,227,0.5,18S22P,,,,,,6,12,"18,24","4,12",2,Antigravity MN6007 KV160.jpg,https://store.tmotor.com/goods.php?id=774 ,para_motor.prt,,Antigravity MN6007.jpg,
Motor,D,Antigravity MN6007 KV320,T-Motor,119.99,0,4,25.1,67,7,30.1,26,6,180,17554.96501,2.065232745,17552.74781,0.151965709,320,0.029841552,0.133455477,39,936,,,50,1.4,18S22P,,,,,,6,12,"18,24","4,10",2,Antigravity MN6007 KV320.jpg,https://store.tmotor.com/goods.php?id=775,para_motor.prt,,Antigravity MN6007.jpg,
Motor,D,Antigravity MN6007II KV160,T-Motor,129.99,0,4,21.1,67.2,7,26.1,26,6,159,17765.21592,1.790783211,17763.27317,0.151965709,160,0.059683104,0.141462523,23.7,1120,,,178,0.5,24S28P,,,,,,6,12,"18,24","4,12",2,Antigravity MN6007II KV160.jpg,https://store.tmotor.com/goods.php?id=1113 ,para_motor.prt,,Antigravity MN6007II.jpg,
Motor,D,Antigravity MN6007II KV320,T-Motor,129.99,0,4,21.1,67.2,7,26.1,26,6,161,17765.21592,1.790783211,17763.27317,0.151965709,320,0.029841552,0.13692243,44.2,1040,,,47.5,1,24S28P,,,,,,6,12,"18,24","4,10",2,Antigravity MN6007II KV320.jpg,https://store.tmotor.com/goods.php?id=1114,para_motor.prt,,Antigravity MN6007II.jpg,
Motor,D,Antigravity MN7005 KV115,T-Motor,219.99,0,4,21.8,79,5,37.8,14.5,10,188,33930.39024,2.593548098,33927.68815,0.108546935,115,0.083037362,0.154730988,15,750,,,288,0.4,24S28P,,,,,,6,12,"20,28","4,14",2,Antigravity MN7005 KV115.jpg,https://store.tmotor.com/goods.php?id=461 ,para_motor.prt,,Antigravity MN7005.jpg,
Motor,D,Antigravity MN7005 KV230,T-Motor,219.99,0,4,21.8,79,5,37.8,14.5,10,188,33930.39024,2.593548098,33927.68815,0.108546935,230,0.041518681,0.155816833,28,700,,,71,0.9,24S28P,,,,,,6,12,"20,26","4,12",2,Antigravity MN7005 KV230.jpg,https://store.tmotor.com/goods.php?id=462,para_motor.prt,,Antigravity MN7005.jpg,
Motor,D,Antigravity MN1005 V2 KV90,T-Motor,249.9,0,4,23,107,5,26,14.5,10,282,114179.5196,1.783921972,114177.6271,0.108546935,90,0.106103295,0.258865534,32,1500,,,168,0.9,36S42P,,,,,,12,16,"28,34","6,16",2,Antigravity MN1005 V2 KV90.jpg,https://store.tmotor.com/goods.php?id=906 ,para_motor.prt,,Antigravity MN1005 V2.jpg,
Motor,D,Antigravity MN8012 KV100,T-Motor,269.9,0,4,29,87.8,12,32,14.5,10,351,51765.99573,2.195596274,51763.53962,0.260512644,100,0.095492966,0.327538171,40,1873,,,85,1,36S42P,,,,,,12,16,"26,32","6,16",2,Antigravity MN8012 KV100.jpg,https://store.tmotor.com/goods.php?id=1130 ,para_motor.prt,,Antigravity MN8012.jpg,
Motor,D,Antigravity MN8014 KV100,T-Motor,279.9,0,4,31.5,87.8,14,34.5,14.5,10,392,51766.21068,2.367127233,51763.53962,0.303931418,100,0.095492966,0.374554228,52,2423,,,65,1.4,36S42P,,,,,,12,16,"26,32","6,16",2,Antigravity MN8014 KV100.jpg,https://store.tmotor.com/goods.php?id=1131 ,para_motor.prt,,Antigravity MN8014.jpg,
