BATTERY_VOLUME,BATTERY_WEIGHT,BATTERY_CAPACITY,BATTERY_CONT_DISCHARGE_RATE,SERIES_COUNT,PAR_COUNT,TOTAL_VOLUME,TOTAL_WEIGHT,TOTAL_ENERGY,TOTAL_VOLTAGE,TOTAL_CAPACITY,TOTAL_MAX_CURRENT,NAME
8.75e-05,0.004,1.0,25.0,64.0,295.0,1.652,75.52,209568.0,710.4,295.0,7375.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,296.0,1.6576,75.776,210278.4,710.4,296.0,7400.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,297.0,1.6632,76.032,210988.8,710.4,297.0,7425.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,298.0,1.6688,76.288,211699.2,710.4,298.0,7450.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,299.0,1.6744,76.544,212409.6,710.4,299.0,7475.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,300.0,1.68,76.8,213120.0,710.4,300.0,7500.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,301.0,1.6856,77.056,213830.4,710.4,301.0,7525.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,302.0,1.6912,77.312,214540.8,710.4,302.0,7550.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,303.0,1.6968,77.568,215251.2,710.4,303.0,7575.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,304.0,1.7024,77.824,215961.6,710.4,304.0,7600.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,305.0,1.708,78.08,216672.0,710.4,305.0,7625.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,306.0,1.7136,78.336,217382.4,710.4,306.0,7650.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,307.0,1.7192,78.592,218092.8,710.4,307.0,7675.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,308.0,1.7248,78.848,218803.2,710.4,308.0,7700.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,309.0,1.7304,79.104,219513.6,710.4,309.0,7725.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,310.0,1.736,79.36,220224.0,710.4,310.0,7750.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,311.0,1.7416,79.616,220934.4,710.4,311.0,7775.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,312.0,1.7472,79.872,221644.8,710.4,312.0,7800.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,313.0,1.7528,80.128,222355.2,710.4,313.0,7825.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,314.0,1.7584,80.384,223065.6,710.4,314.0,7850.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,315.0,1.764,80.64,223776.0,710.4,315.0,7875.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,316.0,1.7696,80.896,224486.4,710.4,316.0,7900.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,317.0,1.7752,81.152,225196.8,710.4,317.0,7925.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,318.0,1.7808,81.408,225907.2,710.4,318.0,7950.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,319.0,1.7864,81.664,226617.6,710.4,319.0,7975.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,320.0,1.792,81.92,227328.0,710.4,320.0,8000.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,321.0,1.7976,82.176,228038.4,710.4,321.0,8025.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,322.0,1.8032,82.432,228748.8,710.4,322.0,8050.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,323.0,1.8088,82.688,229459.2,710.4,323.0,8075.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,324.0,1.8144,82.944,230169.6,710.4,324.0,8100.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,325.0,1.82,83.2,230880.0,710.4,325.0,8125.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,326.0,1.8256,83.456,231590.4,710.4,326.0,8150.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,327.0,1.8312,83.712,232300.8,710.4,327.0,8175.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,328.0,1.8368,83.968,233011.2,710.4,328.0,8200.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,329.0,1.8424,84.224,233721.6,710.4,329.0,8225.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,330.0,1.848,84.48,234432.0,710.4,330.0,8250.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,331.0,1.8536,84.736,235142.4,710.4,331.0,8275.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,332.0,1.8592,84.992,235852.8,710.4,332.0,8300.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,333.0,1.8648,85.248,236563.2,710.4,333.0,8325.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,334.0,1.8704,85.504,237273.6,710.4,334.0,8350.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,335.0,1.876,85.76,237984.0,710.4,335.0,8375.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,336.0,1.8816,86.016,238694.4,710.4,336.0,8400.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,337.0,1.8872,86.272,239404.8,710.4,337.0,8425.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,338.0,1.8928,86.528,240115.2,710.4,338.0,8450.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,339.0,1.8984,86.784,240825.6,710.4,339.0,8475.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,340.0,1.904,87.04,241536.0,710.4,340.0,8500.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,341.0,1.9096,87.296,242246.4,710.4,341.0,8525.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,342.0,1.9152,87.552,242956.8,710.4,342.0,8550.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,343.0,1.9208,87.808,243667.2,710.4,343.0,8575.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,344.0,1.9264,88.064,244377.6,710.4,344.0,8600.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,345.0,1.932,88.32,245088.0,710.4,345.0,8625.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,346.0,1.9376,88.576,245798.4,710.4,346.0,8650.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,347.0,1.9432,88.832,246508.8,710.4,347.0,8675.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,348.0,1.9488,89.088,247219.2,710.4,348.0,8700.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,349.0,1.9544,89.344,247929.6,710.4,349.0,8725.0,Vitaly Beta
