        90x34_4_400_36_460                                 (90x34_4_400_36_460.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        76.1        1.72      0.7386      0.4298      0.9988      66.676    8081.616     242.794  
        80.5        1.82      0.7598      0.4155      0.9936      66.327    8039.133     234.701  
        85.0        1.92      0.7815      0.4000      0.9814      65.522    7940.889     225.933  
        89.5        2.02      0.8033      0.3832      0.9631      64.302    7793.082     216.446  
        94.0        2.12      0.8204      0.3632      0.9385      62.652    7593.940     205.161  
        98.4        2.22      0.8344      0.3418      0.9099      60.748    7362.051     193.111  
       102.9        2.32      0.8475      0.3202      0.8773      58.562    7098.298     180.881  
       107.4        2.42      0.8595      0.2982      0.8405      56.108    6800.913     168.427  
       111.8        2.52      0.8704      0.2758      0.7996      53.386    6469.895     155.770  



         PROP RPM =       560

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3494      0.7023      58.562    6591.151     228.856  
         4.5        0.09      0.0471      0.3544      0.7050      58.777    6615.048     232.228  
         8.9        0.19      0.0951      0.3603      0.7101      59.206    6663.727     236.049  
        13.4        0.28      0.1438      0.3673      0.7183      59.890    6739.843     240.770  
        17.9        0.37      0.1928      0.3754      0.7300      60.869    6849.592     245.941  
        22.4        0.47      0.2416      0.3844      0.7455      62.170    6996.515     251.786  
        26.8        0.56      0.2896      0.3942      0.7655      63.833    7184.151     258.306  
        31.3        0.66      0.3363      0.4050      0.7900      65.871    7413.385     265.275  
        35.8        0.75      0.3830      0.4159      0.8145      67.909    7642.619     272.469  
        40.3        0.84      0.4288      0.4267      0.8395      70.001    7878.049     279.438  
        44.7        0.94      0.4726      0.4364      0.8656      72.174    8122.330     285.957  
        49.2        1.03      0.5141      0.4446      0.8917      74.346    8367.495     291.352  
        53.7        1.12      0.5528      0.4508      0.9170      76.465    8605.580     295.174  
        58.2        1.22      0.5887      0.4542      0.9405      78.423    8825.964     297.647  
        62.6        1.31      0.6217      0.4554      0.9613      80.153    9018.910     298.322  
        67.1        1.41      0.6519      0.4535      0.9785      81.588    9178.224     297.197  
        71.6        1.50      0.6794      0.4492      0.9916      82.674    9302.134     294.275  
        76.1        1.59      0.7075      0.4430      0.9981      83.224    9364.089     290.228  
        80.5        1.69      0.7304      0.4333      1.0008      83.438    9390.642     283.709  
        85.0        1.78      0.7534      0.4217      0.9972      83.143    9355.239     276.290  
        89.5        1.87      0.7725      0.4073      0.9888      82.446    9275.582     266.848  
        94.0        1.97      0.7920      0.3922      0.9746      81.266    9142.821     256.957  
        98.4        2.06      0.8120      0.3759      0.9546      79.603    8956.955     246.166  
       102.9        2.16      0.8256      0.3563      0.9303      77.565    8730.376     233.352  
       107.4        2.25      0.8384      0.3363      0.9026      75.258    8469.279     220.358  
       111.8        2.34      0.8503      0.3161      0.8713      72.656    8176.319     207.117  



         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3494      0.7021      71.999    7563.848     262.802  
         4.5        0.09      0.0440      0.3541      0.7045      72.241    7588.630     266.174  
         8.9        0.17      0.0887      0.3595      0.7090      72.710    7637.309     270.445  
        13.4        0.26      0.1341      0.3659      0.7161      73.434    7714.310     275.166  
        17.9        0.35      0.1798      0.3732      0.7262      74.480    7823.174     280.562  
        22.4        0.44      0.2255      0.3813      0.7397      75.848    7967.442     286.856  
        26.8        0.52      0.2707      0.3903      0.7567      77.605    8151.537     293.376  
        31.3        0.61      0.3149      0.4000      0.7777      79.764    8378.116     300.794  
        35.8        0.70      0.3595      0.4104      0.7994      81.977    8610.891     308.888  
        40.3        0.79      0.4036      0.4213      0.8223      84.323    8859.597     316.981  
        44.7        0.87      0.4426      0.4298      0.8498      87.139    9151.671     323.275  
        49.2        0.96      0.4831      0.4387      0.8738      89.607    9408.343     329.795  
        53.7        1.05      0.5214      0.4457      0.8977      92.061    9673.865     335.415  
        58.2        1.14      0.5574      0.4515      0.9210      94.448    9921.686     339.462  
        62.6        1.22      0.5908      0.4546      0.9427      96.674   10151.806     341.934  
        67.1        1.31      0.6218      0.4558      0.9620      98.659   10364.224     342.834  
        71.6        1.40      0.6503      0.4542      0.9782     100.322   10541.238     341.710  
        76.1        1.49      0.6765      0.4508      0.9908     101.609   10674.000     338.787  
        80.5        1.57      0.7004      0.4446      0.9992     102.467   10762.507     334.291  
        85.0        1.66      0.7254      0.4372      1.0016     102.722   10789.059     328.671  
        89.5        1.75      0.7453      0.4263      1.0005     102.601   10780.209     320.578  
        94.0        1.84      0.7661      0.4143      0.9942     101.958   10709.403     311.810  
        98.4        1.92      0.7828      0.4000      0.9835     100.858   10594.343     300.794  
       102.9        2.01      0.8004      0.3849      0.9678      99.249   10426.179     289.554  
       107.4        2.10      0.8176      0.3688      0.9471      97.117   10204.910     277.414  
       111.8        2.19      0.8300      0.3503      0.9232      94.676    9948.239     263.476  



