        69x13_6_1200_41_890                                 (69x13_6_1200_41_890.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2922      0.2712     161.727    6065.416     595.294  
         4.5        0.04      0.0436      0.2936      0.2742     163.604    6135.337     597.992  
         8.9        0.08      0.0866      0.2951      0.2777     165.616    6213.224     601.139  
        13.4        0.12      0.1296      0.2968      0.2802     167.091    6266.328     604.736  
        17.9        0.16      0.1711      0.2981      0.2841     169.371    6354.836     607.209  
        22.4        0.20      0.2135      0.2996      0.2860     170.578    6397.319     610.132  
        26.8        0.24      0.2532      0.3005      0.2902     172.992    6492.022     612.155  
        31.3        0.29      0.2944      0.3013      0.2920     174.198    6532.736     613.729  
        35.8        0.33      0.3349      0.3021      0.2941     175.405    6578.760     615.302  
        40.3        0.37      0.3712      0.3017      0.2982     177.819    6669.037     614.628  
        44.7        0.41      0.4096      0.3016      0.3001     178.892    6713.291     614.403  
        49.2        0.45      0.4432      0.3006      0.3040     181.306    6802.683     612.380  
        53.7        0.49      0.4789      0.2994      0.3057     182.379    6840.742     609.907  
        58.2        0.53      0.5132      0.2980      0.3076     183.452    6880.570     606.984  
        62.6        0.57      0.5423      0.2954      0.3107     185.329    6952.261     601.814  
        67.1        0.61      0.5736      0.2927      0.3120     185.999    6978.813     596.193  
        71.6        0.65      0.6032      0.2895      0.3130     186.670    7001.825     589.899  
        76.1        0.69      0.6311      0.2858      0.3138     187.072    7019.527     582.255  
        80.5        0.73      0.6543      0.2810      0.3150     187.877    7046.079     572.364  
        85.0        0.77      0.6792      0.2759      0.3146     187.609    7037.228     562.022  
        89.5        0.82      0.7024      0.2703      0.3137     187.072    7015.986     550.557  
        94.0        0.86      0.7241      0.2640      0.3121     186.134    6980.583     537.743  
        98.4        0.90      0.7444      0.2572      0.3098     184.658    6929.249     523.805  
       102.9        0.94      0.7632      0.2497      0.3067     182.915    6860.213     508.743  
       107.4        0.98      0.7807      0.2417      0.3027     180.501    6772.591     492.332  
       111.8        1.02      0.7970      0.2331      0.2980     177.685    6665.497     474.797  



         PROP RPM =       1800

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2922      0.2709     198.739    6956.686     683.419  
         4.5        0.04      0.0408      0.2935      0.2738     200.751    7031.033     686.342  
         8.9        0.08      0.0810      0.2949      0.2770     203.165    7114.230     689.489  
        13.4        0.11      0.1205      0.2963      0.2805     205.847    7205.392     693.086  
        17.9        0.15      0.1602      0.2980      0.2830     207.590    7267.348     696.908  
        22.4        0.19      0.1984      0.2993      0.2870     210.406    7368.246     699.830  
        26.8        0.23      0.2375      0.3006      0.2888     211.881    7416.925     702.753  
        31.3        0.27      0.2740      0.3015      0.2930     214.831    7523.134     705.001  
        35.8        0.30      0.3120      0.3022      0.2947     216.172    7568.273     706.575  
        40.3        0.34      0.3495      0.3029      0.2967     217.648    7618.722     708.373  
        44.7        0.38      0.3829      0.3026      0.3006     220.464    7718.736     707.474  
        49.2        0.42      0.4185      0.3025      0.3025     221.805    7767.415     707.474  
        53.7        0.46      0.4495      0.3015      0.3062     224.621    7863.888     705.001  
        58.2        0.49      0.4827      0.3005      0.3078     225.828    7905.486     702.753  
        62.6        0.53      0.5148      0.2992      0.3096     227.035    7950.625     699.830  
        67.1        0.57      0.5419      0.2968      0.3126     229.180    8025.856     694.210  
        71.6        0.61      0.5713      0.2945      0.3138     230.119    8057.719     688.590  
