        83x24_6_800_51_1280                                 (83x24_6_800_51_1280.dat)

         PROP RPM =       400

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        26.8        0.28      0.1886      0.3807      0.5745     314.335   16515.492     828.421  
        31.3        0.33      0.2196      0.3845      0.5813     318.090   16710.208     836.739  
        35.8        0.38      0.2503      0.3887      0.5891     322.381   16931.477     845.507  
        40.3        0.43      0.2805      0.3930      0.5978     327.209   17188.149     854.724  
        44.7        0.47      0.3102      0.3973      0.6076     332.573   17462.522     864.615  
        49.2        0.52      0.3392      0.4019      0.6184     338.473   17772.298     874.732  
        53.7        0.57      0.3674      0.4070      0.6302     344.910   18117.477     885.298  
        58.2        0.62      0.3967      0.4116      0.6401     350.409   18400.701     896.089  
        62.6        0.66      0.4262      0.4170      0.6496     355.504   18675.074     907.104  
        67.1        0.71      0.4519      0.4205      0.6621     362.344   19029.104     914.973  
        71.6        0.76      0.4801      0.4248      0.6713     367.439   19294.626     923.965  
        76.1        0.81      0.5038      0.4271      0.6838     374.279   19657.507     929.585  
        80.5        0.85      0.5303      0.4298      0.6922     378.838   19896.477     935.655  
        85.0        0.90      0.5559      0.4321      0.7007     383.532   20144.298     940.601  
        89.5        0.95      0.5765      0.4325      0.7115     389.432   20454.074     940.826  
        94.0        1.00      0.6000      0.4329      0.7185     393.187   20648.790     941.725  
        98.4        1.04      0.6223      0.4325      0.7251     396.808   20843.507     940.826  
       102.9        1.09      0.6400      0.4302      0.7331     401.233   21073.626     935.655  
       107.4        1.14      0.6602      0.4275      0.7373     403.513   21197.537     930.484  
       111.8        1.19      0.6793      0.4244      0.7407     405.390   21286.044     923.291  



