weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,propeller_j_max,motor_max_current,motor_max_power,voltage,hover_omega_rpm,hover_thrust,hover_power,hover_current,hover_torque,flying_speed,flying_omega_rpm,flying_thrust,flying_power,flying_current,flying_torque,flying_j,hover_thrust_per_weight,hover_power_per_weight,hover_thrust_per_power,flying_thrust_per_weight,flying_power_per_weight,flying_thrust_per_power,motor_name,propeller_name
0.7170096,0.2794,21000.0,2000.0,0.76,142.10527,7363.1577,44.4,19613.06,88.12,6049.47,136.25,2.67,30.0,19676.07,75.48,5402.25,121.67,2.38,0.3274219,122.89933,8437.083,0.014566565,105.27055,7534.4175,0.013971956,kde_direct_KDE700XF_455_G3,apc_propellers_11x5_5MR
0.7299823,0.3302,18000.0,1000.0,1.0,142.10527,7363.1577,22.2,9522.45,36.15,2971.37,133.85,2.62,30.0,9798.04,28.94,1555.99,70.09,1.35,0.5563604,49.521748,4070.4685,0.012166105,39.6448,2131.545,0.018599091,kde_direct_KDE700XF_455_G3,apc_propellers_13x10E
0.76599735,0.3302,13000.0,1000.0,1.33,142.10527,7363.1577,22.2,9737.81,46.23,1865.34,84.02,1.63,30.0,9567.24,44.92,2741.32,123.48,2.42,0.5697821,60.352688,2435.1782,0.024783686,58.6425,3578.759,0.016386267,kde_direct_KDE700XF_455_G3,apc_propellers_13x14
0.76599735,0.3302,13000.0,1000.0,1.33,142.10527,7363.1577,22.8,9990.81,48.69,2021.24,88.65,1.72,30.0,9814.74,47.6,2949.96,129.38,2.54,0.5554138,63.56419,2638.7036,0.024089172,62.14121,3851.136,0.016135812,kde_direct_KDE700XF_455_G3,apc_propellers_13x14
0.74499613,0.381,15000.0,1000.0,0.66,142.10527,7363.1577,22.2,9589.9,56.81,2624.97,118.24,2.31,30.0,9878.41,22.6,1143.22,51.5,0.98,0.47825605,76.25543,3523.468,0.021642152,30.335728,1534.5315,0.019768724,kde_direct_KDE700XF_455_G3,apc_propellers_15x7E
0.7949817,0.4064,13000.0,1000.0,0.65,142.10527,7363.1577,22.8,9840.32,83.92,2815.03,123.47,2.42,30.0,10004.69,37.35,1948.03,85.44,1.66,0.44270575,105.56217,3540.9995,0.029811405,46.982212,2450.4084,0.019173216,kde_direct_KDE700XF_455_G3,apc_propellers_16x7
0.80092376,0.4064,13999.0,1000.0,0.71,142.10527,7363.1577,22.2,9501.46,81.41,3079.2,138.7,2.72,30.0,9671.36,41.37,2206.59,99.4,1.94,0.4579639,101.64513,3844.5605,0.026438685,51.652855,2755.0562,0.018748386,kde_direct_KDE700XF_455_G3,apc_propellers_16x8
0.7110676,0.2286,26000.0,3000.0,0.76,142.10527,7363.1577,51.8,23041.16,59.21,6325.52,122.11,2.39,30.0,23304.46,46.26,3170.22,61.2,1.17,0.3378759,83.26916,8895.807,0.009360495,65.057106,4458.3945,0.014592047,kde_direct_KDE700XF_455_G3,apc_propellers_9x4_5MR
0.7090718,0.2286,21000.0,2000.0,1.04,142.10527,7363.1577,44.4,19815.65,52.94,3968.51,89.38,1.74,30.0,19869.66,47.39,3413.72,76.89,1.49,0.39628336,74.66099,5596.7676,0.01334002,66.833855,4814.35,0.013882216,kde_direct_KDE700XF_455_G3,apc_propellers_9x6SF
0.70993364,0.2286,21000.0,2000.0,1.21,142.10527,7363.1577,44.4,19708.22,53.17,5072.01,114.23,2.23,30.0,19760.76,53.03,4532.34,102.08,1.99,0.39846724,74.894325,7144.3438,0.010483024,74.69712,6384.1743,0.011700358,kde_direct_KDE700XF_455_G3,apc_propellers_9x7_5SF
0.590073,0.254,24000.0,1000.0,0.61,132.63158,5889.4736,44.4,23188.94,77.02,5484.74,123.53,2.05,30.0,23250.66,55.27,4885.65,110.04,1.82,0.30479196,130.52621,9295.02,0.014042598,93.666374,8279.738,0.011312722,kde_direct_KDE700XF_535_G3,apc_propellers_10x4
0.5790054,0.3048,16000.0,1000.0,0.91,132.63158,5889.4736,22.8,11760.23,56.03,2182.05,95.7,1.58,30.0,11871.55,28.88,1627.16,71.37,1.16,0.49745077,96.76939,3768.6177,0.025677688,49.878635,2810.2673,0.017748715,kde_direct_KDE700XF_535_G3,apc_propellers_12x6SF
0.5790054,0.3048,15000.0,1000.0,1.07,132.63158,5889.4736,22.8,11660.37,56.81,2679.8,117.53,1.94,30.0,11687.72,41.87,2543.46,111.56,1.84,0.50527495,98.11652,4628.2812,0.021199344,72.31366,4392.8086,0.016461827,kde_direct_KDE700XF_535_G3,apc_propellers_12x8SF
0.590073,0.3556,17000.0,3000.0,0.63,132.63158,5889.4736,22.8,11662.9,69.96,2667.16,116.98,1.94,30.0,11874.42,30.18,1612.84,70.74,1.15,0.42628333,118.5616,4520.051,0.026230147,51.146214,2733.2888,0.018712334,kde_direct_KDE700XF_535_G3,apc_propellers_14x5_5MR
0.6312136,0.3556,16000.0,1000.0,0.67,132.63158,5889.4736,22.2,11329.76,67.3,2655.91,119.64,1.98,30.0,11522.35,32.49,1721.23,77.53,1.27,0.43930858,106.62,4207.6245,0.025339713,51.47227,2726.8582,0.018876037,kde_direct_KDE700XF_535_G3,apc_propellers_14x6
0.59701294,0.3556,17000.0,1000.0,0.62,132.63158,5889.4736,22.2,11348.55,58.61,2564.71,115.53,1.91,30.0,11615.88,24.28,1267.3,57.09,0.92,0.43577132,98.17207,4295.9033,0.022852486,40.669136,2122.7346,0.019158842,kde_direct_KDE700XF_535_G3,apc_propellers_14x6E
0.57796216,0.2286,26000.0,1000.0,0.7,132.63158,5889.4736,44.4,23180.82,60.99,5563.57,125.31,2.08,30.0,23434.78,43.79,3098.48,69.79,1.14,0.335997,105.52594,9626.184,0.010962386,75.766205,5361.043,0.014132736,kde_direct_KDE700XF_535_G3,apc_propellers_9x4_5E
0.4969814,0.4064,13999.0,1000.0,0.97,61.05263,2257.8948,51.8,6396.33,34.72,2132.68,41.17,2.74,30.0,6704.52,21.14,1031.12,19.91,1.31,0.6606191,69.86177,4291.267,0.016279986,42.5368,2074.7656,0.020501979,kde_direct_KDE7208XF_135,apc_propellers_16x12E
0.59609085,0.4572,12000.0,1000.0,1.06,61.05263,2257.8948,44.4,5336.11,32.45,2015.59,45.4,3.02,30.0,5607.78,23.94,1183.25,26.65,1.76,0.7020618,54.43801,3381.3472,0.016099505,40.161663,1985.0162,0.020232411,kde_direct_KDE7208XF_135,apc_propellers_18x14
0.74491537,0.3937,13000.0,1000.0,1.01,89.47369,4636.8423,51.8,6426.32,39.05,3092.98,59.71,3.98,30.0,6782.54,23.39,1148.7,22.18,1.45,0.6740851,52.422062,4152.1226,0.012625365,31.39954,1542.0543,0.020362148,kde_direct_KDE7215XF_135,apc_propellers_15_5x12W
0.69198143,0.4064,13999.0,1000.0,0.97,89.47369,4636.8423,51.8,6562.27,36.7,2350.98,45.39,3.01,30.0,6795.19,22.22,1079.67,20.84,1.36,0.65180427,53.036106,3397.4612,0.015610511,32.110687,1560.2587,0.020580363,kde_direct_KDE7215XF_135,apc_propellers_16x12E
0.74405354,0.4064,13000.0,1000.0,1.24,89.47369,4636.8423,51.8,6154.62,39.41,4575.97,88.34,5.9,30.0,6596.49,38.35,2164.18,41.78,2.77,0.671438,52.966618,6150.0547,0.008612381,51.54199,2908.6348,0.017720338,kde_direct_KDE7215XF_135,apc_propellers_16x16
0.7381115,0.4318,13000.0,1000.0,0.86,89.47369,4636.8423,51.8,6423.87,43.27,3106.34,59.97,3.99,30.0,6797.55,22.18,1066.78,20.59,1.35,0.61324984,58.622578,4208.497,0.013929577,30.04966,1445.283,0.020791542,kde_direct_KDE7215XF_135,apc_propellers_17x10N
0.7599292,0.4318,11000.0,1000.0,0.93,89.47369,4636.8423,51.8,6267.33,49.67,3960.78,76.46,5.1,30.0,6717.42,30.21,1504.16,29.04,1.91,0.6205651,65.36135,5212.038,0.01254046,39.753704,1979.3423,0.0200843,kde_direct_KDE7215XF_135,apc_propellers_17x12
0.7080385,0.4318,13000.0,1000.0,0.93,89.47369,4636.8423,51.8,6413.64,44.45,3162.2,61.05,4.06,30.0,6749.98,27.14,1326.42,25.61,1.68,0.6175717,62.77907,4466.141,0.01405667,38.33125,1873.3727,0.02046109,kde_direct_KDE7215XF_135,apc_propellers_17x12E
0.77294725,0.4318,11000.0,1000.0,0.93,89.47369,4636.8423,51.8,6338.24,53.11,3573.75,68.99,4.6,30.0,6705.35,31.36,1570.02,30.31,2.0,0.62168217,68.71103,4623.5366,0.01486114,40.57198,2031.2124,0.019974267,kde_direct_KDE7215XF_135,apc_propellers_17x12W
