BASE_VOLTAGE,BATTERY_TYPE,CAPACITY,CHEMISTRY_TYPE,CONT_DISCHARGE_RATE,CORPUS,COST,DISCHARGE_PLUG,LENGTH,MODEL,MODEL_NAME,MODULE_MASS,MODULE_VOLUME,NUMBER_OF_CELLS,PACK_RESISTANCE,PEAK_DISCHARGE_RATE,THICKNESS,VOLTAGE,WEIGHT,WIDTH
,UAV,2200,LiPo,75,UAV,32.73,XT60,106.0,TurnigyGraphene2200mAh3S75C,TurnigyGraphene2200mAh3S75C,,,3S1P,10,150,31.0,11.1,0.23,35
,UAV,2200,LiPo,75,UAV,42.63,XT60,106.0,TurnigyGraphene2200mAh4S75C,TurnigyGraphene2200mAh4S75C,,,4S1P,13,150,41.0,14.8,0.295,35
,UAV,3000,LiPo,75,UAV,42.54,XT90,137.0,TurnigyGraphene3000mAh3S75C,TurnigyGraphene3000mAh3S75C,,,3S1P,13,150,26.0,11.1,0.32,45
,UAV,3000,LiPo,75,UAV,56.77,XT90,137.0,TurnigyGraphene3000mAh4S75C,TurnigyGraphene3000mAh4S75C,,,4S1P,15,150,45.0,14.8,0.405,34
,UAV,3000,LiPo,75,UAV,82.57,XT90,137.0,TurnigyGraphene3000mAh6S75C,TurnigyGraphene3000mAh6S75C,,,6S1P,18,150,47.0,22.2,0.598,45
,UAV,4000,LiPo,75,UAV,55.05,XT90,145.0,TurnigyGraphene4000mAh3S75C,TurnigyGraphene4000mAh3S75C,,,3S1P,10,150,28.0,11.1,0.412,51
,UAV,4000,LiPo,75,UAV,70.83,XT90,145.0,TurnigyGraphene4000mAh4S75C,TurnigyGraphene4000mAh4S75C,,,4S1P,12,150,36.0,14.8,0.526,51
,UAV,4000,LiPo,75,UAV,104.34,XT90,145.0,TurnigyGraphene4000mAh6S75C,TurnigyGraphene4000mAh6S75C,,,6S1P,16,150,51.0,22.2,0.76,51
,UAV,5000,LiPo,75,UAV,65.48,XT90,144.0,TurnigyGraphene5000mAh3S75C,TurnigyGraphene5000mAh3S75C,,,3S1P,9,150,32.0,11.1,0.49,51
,UAV,5000,LiPo,75,UAV,81.7,XT90,145.0,TurnigyGraphene5000mAh4S75C,TurnigyGraphene5000mAh4S75C,,,4S1P,11,150,42.0,14.8,0.63,51
,UAV,5000,LiPo,75,UAV,116.32,XT90,145.0,TurnigyGraphene5000mAh6S75C,TurnigyGraphene5000mAh6S75C,,,6S1P,15,150,61.0,22.2,0.92,51
,UAV,6000,LiPo,75,UAV,75.16,XT90,168.0,TurnigyGraphene6000mAh3S75C,TurnigyGraphene6000mAh3S75C,,,3S1P,7,150,27.0,11.1,0.63,69
,UAV,6000,LiPo,75,UAV,99.8,XT90,168.0,TurnigyGraphene6000mAh4S75C,TurnigyGraphene6000mAh4S75C,,,4S1P,9,150,34.0,14.8,0.8,69
,UAV,6000,LiPo,75,UAV,129.99,XT90,170.0,TurnigyGraphene6000mAh6S75C,TurnigyGraphene6000mAh6S75C,,,6S1P,13,150,48.0,22.2,1.14,69
11.1,Wing,1.0,,0.01,UAM,,,,,VitalyBeta,0.004,87500.0,,,0.1,,,,
11.1,Beam,1.0,,0.01,UAM,,,,,VitalyBeta_beam,0.004,87500.0,,,0.1,,,,
11.1,Cylinder,1.0,,0.01,UAM,,,,,VitalyBeta_cyl,0.004,87500.0,,,0.1,,,,
