weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,propeller_j_max,omega_rpm,voltage,thrust,power,current,omega_rpm_at20,thrust_at20,power_at20,current_at20,j_at20,max_omega_rpm,max_voltage,max_thrust,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,thrust_per_weight_at20,power_per_weight_at20,thrust_per_power_at20,motor_name,propeller_name
0.14897898,0.2794,14000.0,1000.0,0.7,10195.99,11.1,20.77,579.84,52.24,10393.07,11.01,501.52,45.18,0.4132482,11671.75,12.94,27.47,885.09,68.42,139.41563,3892.0928,0.035820227,73.903046,3366.3809,0.021953262,t_motor_AT2820KV1050,apc_propellers_11x4_6SF
0.12988947,0.244475,18000.0,1000.0,0.64,14893.53,22.8,15.21,397.44,17.43,14807.8,10.57,429.39,18.83,0.33147916,15998.69,24.6,17.56,490.53,19.94,117.099556,3059.832,0.038269926,81.37688,3305.8105,0.024616316,t_motor_MN3110KV700,apc_propellers_9_625x3_75N
0.13088948,0.244475,18000.0,1000.0,0.64,16126.42,22.2,17.87,501.96,22.61,15974.79,13.42,565.94,25.49,0.30726397,16175.36,22.27,17.99,506.32,22.73,136.5274,3834.9912,0.035600446,102.52925,4323.801,0.023712762,t_motor_MN3110KV780,apc_propellers_9_625x3_75N
0.13488948,0.244475,18000.0,1000.0,0.64,14713.49,22.2,14.84,383.22,17.26,14651.79,10.22,411.83,18.55,0.3350087,16543.21,25.1,18.76,536.84,21.39,110.01599,2840.9924,0.038724493,75.76573,3053.092,0.024816064,t_motor_MN3508KV700,apc_propellers_9_625x3_75N
0.13488948,0.244475,18000.0,1000.0,0.64,15094.38,22.8,15.63,412.2,18.08,15016.12,11.06,449.46,19.71,0.32688054,16543.21,25.1,18.79,536.84,21.39,115.87264,3055.835,0.037918486,81.99305,3332.0613,0.024607306,t_motor_MN3508KV700,apc_propellers_9_625x3_75N
0.12398949,0.2286,18000.0,1000.0,0.77,13476.27,22.8,17.6,520.28,22.82,13565.33,10.62,468.08,20.53,0.38696766,13482.38,22.81,17.62,521.05,22.84,141.94751,4196.162,0.03382794,85.65242,3775.1587,0.02268843,t_motor_MN3510KV630,apc_propellers_9x4_1SF
0.14294745,0.23622,25000.0,1000.0,0.55,15117.91,22.8,20.1,577.43,25.33,15357.19,10.04,413.36,18.13,0.33079034,15169.93,22.88,20.25,584.21,25.53,140.61111,4039.4565,0.034809414,70.2356,2891.6921,0.024288755,t_motor_MN3510KV700,apc_propellers_9_3x3
0.14888948,0.244475,18000.0,1000.0,0.64,14949.45,22.2,15.33,394.29,17.76,14897.3,10.78,429.11,19.33,0.3294877,17068.45,25.47,19.95,584.21,22.93,102.96228,2648.2058,0.038880013,72.402695,2882.0706,0.025121763,t_motor_MN3510KV700,apc_propellers_9_625x3_75N
0.17101926,0.3556,16000.0,1000.0,0.93,5813.92,14.8,15.9,406.99,27.5,5796.83,10.24,412.71,27.89,0.582142,6066.69,15.71,17.24,496.17,31.58,92.97199,2379.7905,0.0390673,59.8763,2413.237,0.02481161,t_motor_MN4010KV475,apc_propellers_14x10E
0.16497898,0.2794,14000.0,1000.0,0.7,10044.27,22.2,20.12,522.49,23.54,10141.79,10.09,439.19,19.78,0.42348716,11430.03,25.47,26.08,777.37,30.53,121.95493,3167.0095,0.038507912,61.159306,2662.0967,0.022974111,t_motor_MN4012KV480,apc_propellers_11x4_6SF
0.1849823,0.3302,16000.0,1000.0,0.49,9905.6,22.2,26.54,640.92,28.87,10179.93,10.0,406.62,18.32,0.35699275,10166.52,22.83,27.64,697.02,30.53,143.47319,3464.764,0.041409224,54.059227,2198.1562,0.024592986,t_motor_MN4012KV480,apc_propellers_13x4E
