        62x16_5_1200_51_780                                 (62x16_5_1200_51_780.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
         4.5        0.05      0.0367      0.3364      0.4483     125.385    5066.167     385.098  
         8.9        0.10      0.0733      0.3388      0.4519     126.351    5104.225     388.020  
        13.4        0.15      0.1098      0.3415      0.4559     127.491    5151.134     390.943  
        17.9        0.20      0.1460      0.3443      0.4606     128.832    5204.239     394.315  
        22.4        0.24      0.1820      0.3474      0.4662     130.374    5267.079     397.687  
        26.8        0.29      0.2175      0.3507      0.4726     132.144    5338.770     401.509  
        31.3        0.34      0.2524      0.3542      0.4797     134.236    5420.197     405.555  
        35.8        0.39      0.2867      0.3579      0.4879     136.382    5512.245     409.827  
        40.3        0.44      0.3217      0.3621      0.4948     138.393    5591.016     414.548  
        44.7        0.49      0.3542      0.3656      0.5042     140.941    5696.340     418.594  
        49.2        0.54      0.3885      0.3693      0.5107     142.819    5769.801     422.866  
        53.7        0.59      0.4224      0.3730      0.5176     144.696    5847.688     427.137  
        58.2        0.64      0.4518      0.3749      0.5270     147.378    5953.897     429.385  
        62.6        0.68      0.4837      0.3774      0.5336     149.256    6028.243     432.083  
        67.1        0.73      0.5106      0.3784      0.5429     151.803    6134.452     433.207  
        71.6        0.78      0.5402      0.3792      0.5488     153.413    6199.948     434.331  
        76.1        0.83      0.5684      0.3795      0.5544     155.022    6263.673     434.556  
        80.5        0.88      0.5952      0.3790      0.5597     156.497    6324.743     433.881  
        85.0        0.93      0.6171      0.3766      0.5663     158.374    6399.089     431.184  
        89.5        0.98      0.6412      0.3741      0.5698     159.313    6438.918     428.261  
        94.0        1.03      0.6640      0.3707      0.5726     160.118    6469.895     424.439  
        98.4        1.07      0.6854      0.3663      0.5745     160.654    6490.252     419.494  
       102.9        1.12      0.7054      0.3610      0.5751     160.788    6497.333     413.424  
       107.4        1.17      0.7241      0.3548      0.5743     160.654    6489.367     406.230  
       111.8        1.22      0.7416      0.3476      0.5724     160.118    6466.355     397.912  



         PROP RPM =       1680

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3343      0.4453     155.558    5834.412     443.773  
         4.5        0.05      0.0341      0.3363      0.4478     156.497    5868.930     446.471  
         8.9        0.09      0.0681      0.3385      0.4510     157.570    5909.643     449.618  
        13.4        0.14      0.1020      0.3409      0.4547     158.777    5957.437     452.765  
        17.9        0.18      0.1358      0.3435      0.4589     160.252    6014.082     456.137  
        22.4        0.23      0.1693      0.3463      0.4639     161.995    6077.807     459.734  
        26.8        0.27      0.2025      0.3493      0.4694     164.007    6151.268     463.781  
        31.3        0.32      0.2352      0.3525      0.4757     166.152    6234.465     468.052  
        35.8        0.36      0.2674      0.3558      0.4829     168.700    6327.398     472.549  
        40.3        0.41      0.2989      0.3594      0.4908     171.382    6430.952     477.270  
        44.7        0.45      0.3313      0.3633      0.4974     173.796    6517.689     482.440  
        49.2        0.50      0.3613      0.3666      0.5063     176.881    6633.634     486.711  
        53.7        0.54      0.3931      0.3701      0.5125     179.026    6715.061     491.432  
        58.2        0.59      0.4213      0.3729      0.5217     182.245    6837.201     495.029  
        62.6        0.64      0.4519      0.3756      0.5277     184.390    6915.088     498.626  
        67.1        0.68      0.4817      0.3781      0.5340     186.536    6998.285     501.998  
        71.6        0.73      0.5068      0.3791      0.5428     189.620    7111.574     503.347  
        76.1        0.77      0.5346      0.3803      0.5484     191.498    7185.921     504.921  
        80.5        0.82      0.5613      0.3810      0.5541     193.509    7261.152     506.045  
        85.0        0.86      0.5832      0.3798      0.5613     196.057    7354.970     504.471  
        89.5        0.91      0.6076      0.3789      0.5657     197.532    7412.500     503.123  
        94.0        0.95      0.6307      0.3773      0.5697     199.007    7465.604     500.874  
        98.4        1.00      0.6493      0.3739      0.5747     200.751    7530.215     496.603  
       102.9        1.04      0.6702      0.3705      0.5768     201.421    7556.767     492.107  
       107.4        1.09      0.6899      0.3663      0.5780     201.824    7573.583     486.487  
       111.8        1.13      0.7084      0.3613      0.5782     201.958    7577.124     479.742  



         PROP RPM =       1800

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3343      0.4450     191.229    6693.819     509.642  
         4.5        0.04      0.0318      0.3362      0.4475     192.168    6730.992     512.565  
         8.9        0.08      0.0636      0.3382      0.4503     193.509    6773.476     515.487  
        13.4        0.13      0.0953      0.3404      0.4537     194.850    6823.925     518.859  
        17.9        0.17      0.1269      0.3428      0.4575     196.594    6881.455     522.681  
        22.4        0.21      0.1583      0.3454      0.4618     198.471    6947.836     526.503  
        26.8        0.25      0.1894      0.3481      0.4668     200.617    7023.067     530.549  
        31.3        0.30      0.2201      0.3510      0.4724     203.030    7107.149     535.045  
        35.8        0.34      0.2505      0.3541      0.4788     205.712    7200.967     539.766  
        40.3        0.38      0.2803      0.3573      0.4857     208.663    7305.406     544.712  
        44.7        0.42      0.3095      0.3606      0.4934     211.881    7420.465     549.658  
        49.2        0.47      0.3395      0.3644      0.4997     214.697    7516.939     555.503  
        53.7        0.51      0.3674      0.3675      0.5082     218.318    7644.389     560.224  
        58.2        0.55      0.3970      0.3709      0.5141     220.866    7733.782     565.395  
        62.6        0.59      0.4233      0.3735      0.5230     224.621    7865.658     569.216  
        67.1        0.64      0.4519      0.3762      0.5287     227.169    7952.395     573.488  
        71.6        0.68      0.4763      0.3780      0.5375     230.924    8085.156     576.185  
        76.1        0.72      0.5034      0.3798      0.5429     233.203    8166.583     578.883  
        80.5        0.76      0.5297      0.3814      0.5487     235.751    8252.436     581.356  
        85.0        0.80      0.5513      0.3813      0.5562     238.970    8366.610     581.131  
        89.5        0.85      0.5757      0.3815      0.5611     240.981    8439.186     581.581  
        94.0        0.89      0.5954      0.3804      0.5679     243.932    8542.740     579.782  
        98.4        0.93      0.6178      0.3791      0.5715     245.541    8596.730     577.984  
       102.9        0.97      0.6391      0.3773      0.5748     246.882    8646.294     575.061  
       107.4        1.02      0.6593      0.3748      0.5776     248.089    8688.777     571.240  
       111.8        1.06      0.6754      0.3707      0.5809     249.564    8738.342     565.170  



